Số_Giờ_Học_Tuần,Số_Môn_Đang_Học,Làm_Thêm,Thời_Gian_Ngủ,Tham_Gia_CLB,Điểm_Danh_%,Hình_Thức_Học,Thời_Gian_Mạng_Xã_Hội,GPA
33,6,Có,8,Không,69,Tự học,3,3.5755086340201427
19,7,Có,9,Có,90,Tự học,5,2.8372647339348065
12,5,Không,9,Không,98,Tự học,2,2.86760069563364
25,6,Có,6,Có,69,Học nhóm,2,2.954006265343652
23,5,Không,4,Có,71,Học nhóm,5,2.6927035945460838
27,3,Có,4,Không,77,Học nhóm,4,2.7854414869603192
15,3,Không,8,Không,89,Học nhóm,5,2.4785246925153315
15,6,Không,8,Có,98,Tự học,4,2.476283185224482
28,6,Không,9,Có,56,Học nhóm,5,2.5998446245210562
28,7,Có,5,Có,50,Tự học,5,2.5294391879405485
7,7,Có,6,Không,81,Học nhóm,1,2.2733627075401253
26,5,Không,6,Không,62,Tự học,2,3.154797352658006
6,6,Có,9,Không,79,Tự học,5,1.6348468673995318
28,3,Không,7,Không,72,Học nhóm,5,2.547125023958036
34,7,Có,5,Không,68,Tự học,3,3.304890363711995
6,7,Không,9,Có,81,Tự học,2,2.429419660522431
25,3,Không,5,Không,79,Học nhóm,3,3.366785538291574
37,7,Có,5,Có,78,Tự học,2,3.618223147426212
16,5,Không,5,Có,98,Học nhóm,3,3.175736166686259
26,6,Có,9,Có,94,Học nhóm,5,3.172298306099859
29,3,Không,6,Không,78,Học nhóm,5,2.9754745400118363
31,6,Không,6,Không,79,Tự học,1,3.706731987497334
32,7,Có,5,Không,65,Tự học,3,3.230464575682684
20,7,Có,7,Có,89,Tự học,4,2.5647215686031504
19,3,Có,4,Có,68,Học nhóm,1,3.005308069945179
7,5,Không,9,Có,67,Tự học,3,2.1660182708294906
11,4,Có,4,Có,50,Học nhóm,3,1.624887459698094
25,3,Không,7,Có,63,Học nhóm,1,2.9891607066874815
13,4,Không,9,Có,96,Tự học,5,2.6688060372565476
22,4,Có,5,Không,99,Học nhóm,3,3.3321347531647816
8,5,Có,6,Không,51,Tự học,5,1.3099389692309158
29,4,Không,4,Không,77,Tự học,1,3.2556753264123897
18,4,Không,8,Không,98,Tự học,5,2.854889185801711
13,5,Có,8,Có,99,Tự học,2,3.1645458038518726
30,4,Có,7,Có,79,Tự học,4,3.2887200309188866
6,4,Có,5,Không,87,Học nhóm,3,2.1658771335827787
24,4,Có,4,Có,53,Học nhóm,4,2.5143397421296694
32,3,Có,5,Không,50,Học nhóm,5,2.0302914758739847
11,3,Không,4,Không,57,Tự học,3,2.1197531400744207
12,3,Không,7,Không,78,Tự học,5,1.81205724424438
39,5,Không,7,Có,88,Tự học,2,3.9375118117193733
18,7,Không,8,Không,52,Học nhóm,1,2.1160660210747713
21,4,Có,5,Không,81,Tự học,3,2.6110637048558187
8,4,Có,9,Không,59,Học nhóm,2,2.112165357475704
6,5,Có,8,Có,59,Học nhóm,2,1.6864597597376219
10,4,Không,5,Có,68,Tự học,3,2.129300776346143
8,3,Không,8,Không,95,Tự học,5,2.2906158842241635
33,7,Có,9,Có,83,Học nhóm,2,3.7054081654446245
22,6,Có,6,Có,82,Tự học,4,2.8553643782120512
30,4,Không,6,Có,72,Học nhóm,2,2.9834015551622857
38,3,Không,6,Có,77,Tự học,5,3.6392533638894284
14,6,Có,6,Có,81,Tự học,5,2.2212486833677376
18,7,Có,4,Có,99,Học nhóm,4,2.66868362026805
35,6,Không,6,Có,56,Tự học,2,3.0843769678068176
19,3,Có,9,Có,78,Học nhóm,5,2.8101519581268626
12,6,Có,7,Có,57,Tự học,3,2.110044348422699
18,5,Có,7,Có,50,Học nhóm,1,2.230269573118428
27,6,Không,4,Không,52,Học nhóm,1,2.7201484591363143
25,4,Không,6,Không,73,Tự học,1,3.0456729897565236
20,4,Không,6,Có,72,Học nhóm,2,3.155349596712168
22,5,Không,6,Không,57,Tự học,4,2.416387090446311
28,3,Không,8,Không,96,Tự học,5,3.4060083294382144
30,4,Không,5,Có,86,Tự học,3,3.6260566908063683
29,7,Không,8,Có,52,Học nhóm,3,2.737757831805303
33,4,Có,5,Có,82,Học nhóm,2,3.5381915708358593
